,latitude,longitude,bathrooms,bedrooms,beds,minimum_nights_avg_ntm,maximum_nights_avg_ntm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
6365,37.97863,23.72745,1.0,0.0,1.0,1.0,365.0,4.78,4.78,4.89,4.78,4.44,4.89,4.78,0.31
6366,37.974764,23.7183169,2.0,2.0,3.0,3.2,247.1,4.69,4.7,4.8,4.87,4.89,4.91,4.65,1.98
6367,37.97789760000001,23.7251293,1.0,1.0,1.0,1.0,365.0,4.84,4.88,4.95,4.99,4.96,4.73,4.82,5.65
6368,37.9645127,23.7480125,1.5,2.0,2.0,2.0,1125.0,4.94,4.97,4.94,4.94,5.0,4.85,4.85,1.25
6369,37.97789759191137,23.725129142403603,1.0,1.0,3.0,1.0,365.0,4.84,4.88,4.88,4.96,4.98,4.67,4.76,1.7
6370,37.99151,23.73307,1.0,1.0,1.0,2.7,1125.0,4.87,4.76,4.95,4.86,4.98,4.62,4.75,5.99
6371,37.99809,23.73627,1.0,1.0,2.0,2.0,1125.0,4.7,4.84,4.71,4.81,4.86,4.53,4.73,3.02
6372,37.97551,23.72667,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6373,37.97789759122488,23.725129142403603,1.0,1.0,3.0,1.0,365.0,4.81,4.85,4.93,4.97,4.97,4.85,4.8,2.04
6374,37.9766516,23.7184004,1.5,2.0,2.0,3.0,1125.0,4.9,4.91,4.86,4.81,4.96,4.92,4.91,3.41
6375,37.9991779,23.7715042,1.0,2.0,2.0,1.0,1125.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.03
6376,37.98186302622687,23.7165829539299,1.0,1.0,1.0,2.0,59.0,4.93,5.0,4.93,5.0,5.0,4.82,4.89,0.97
6377,37.98442,23.74001,1.0,1.0,1.0,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6378,37.9846,23.73809,1.0,1.0,1.0,1.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6379,37.99787820777216,23.730331286787987,2.0,5.0,5.0,2.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6380,37.96701,23.72899,1.0,1.0,1.0,2.0,365.0,4.85,4.77,4.69,4.92,4.77,5.0,4.69,0.46
6381,37.99015479429303,23.73534328161467,1.0,1.0,2.0,3.0,28.0,4.91,4.94,4.91,4.97,4.97,4.77,4.94,1.22
6382,37.9784151,23.7572926,1.0,1.0,2.0,2.5,18.0,4.73,4.8,4.73,4.9,4.95,4.8,4.9,1.42
6383,37.9746575,23.7317888,1.0,1.0,2.0,2.0,365.0,4.95,4.97,5.0,4.95,4.97,4.97,4.9,1.34
6384,37.97592,23.72654,1.0,1.0,1.0,1.0,365.0,5.0,5.0,4.8,5.0,5.0,5.0,5.0,0.17
6385,37.97548,23.72616,1.0,1.0,1.0,1.0,365.0,4.5,4.25,4.25,5.0,4.5,5.0,4.5,0.21
6386,37.9860273,23.7401133,1.0,1.0,1.0,2.0,1125.0,4.75,4.88,4.8,4.77,4.66,4.74,4.69,2.26
6387,37.97552,23.72696,1.0,1.0,1.0,1.0,365.0,5.0,5.0,4.93,4.93,5.0,4.8,4.8,0.52
6388,37.97778,23.72818,1.0,1.0,1.0,1.0,365.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.07
6389,37.97765,23.72751,1.0,1.0,1.0,1.0,365.0,4.78,5.0,4.67,4.56,4.44,5.0,4.89,0.32
6390,37.99869,23.73748,1.0,1.0,2.0,2.0,1125.0,4.39,4.54,4.44,4.84,4.8,4.46,4.51,2.14
6391,37.99167,23.72582,1.0,1.0,1.0,1.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6392,37.9774186,23.7319284,1.0,1.0,1.0,1.0,1125.0,4.11,4.22,4.22,4.78,4.56,4.78,4.11,0.31
6393,37.98549,23.72957,2.0,2.0,3.0,2.0,365.0,4.65,4.71,4.71,4.97,4.87,4.45,4.74,1.08
6394,37.97226,23.7324,2.0,2.0,2.0,2.0,59.0,4.85,4.69,5.0,4.54,4.77,4.62,4.62,0.46
6395,38.0003068,23.7428991,1.0,1.0,2.0,4.0,60.0,4.82,4.95,4.91,4.91,5.0,4.64,4.91,0.78
6396,37.96367,23.71055,1.5,1.0,3.0,1.0,1125.0,4.74,4.77,4.84,4.87,4.88,4.8,4.75,5.53
6397,37.959,23.73513,1.0,1.0,2.0,1.0,1125.0,4.95,4.97,4.97,4.98,4.98,4.76,4.83,2.03
6398,37.98981,23.72809,1.5,1.0,1.0,2.0,365.0,4.67,4.67,4.33,5.0,5.0,4.33,4.67,0.14
6399,37.96494,23.73021,1.0,1.0,2.0,1.0,1125.0,4.83,4.87,4.9,4.9,4.97,4.79,4.87,3.23
6400,37.99670832234713,23.723394411114192,1.0,1.0,2.0,2.0,365.0,4.62,4.48,4.62,4.86,4.81,3.9,4.43,0.75
